,IID,00:00,02:02,01:01,03:01,02:24
116,HLA_117,2,0,0,0,0
117,HLA_118,1,0,0,1,0
118,HLA_119,1,0,0,0,1
119,HLA_120,0,1,1,0,0
120,HLA_121,2,0,0,0,0
121,HLA_122,1,1,0,0,0
122,HLA_123,2,0,0,0,0
123,HLA_124,2,0,0,0,0
124,HLA_125,2,0,0,0,0
125,HLA_126,2,0,0,0,0
126,HLA_127,1,1,0,0,0
127,HLA_128,0,0,0,2,0
128,HLA_129,1,0,0,1,0
129,HLA_130,2,0,0,0,0
130,HLA_131,1,1,0,0,0
131,HLA_132,1,0,1,0,0
132,HLA_133,2,0,0,0,0
133,HLA_134,2,0,0,0,0
134,HLA_135,2,0,0,0,0
135,HLA_136,0,0,2,0,0
136,HLA_137,1,0,1,0,0
137,HLA_138,0,1,0,1,0
138,HLA_139,2,0,0,0,0
139,HLA_140,2,0,0,0,0
140,HLA_141,1,1,0,0,0
141,HLA_142,1,0,0,1,0
142,HLA_143,2,0,0,0,0
143,HLA_144,2,0,0,0,0
144,HLA_145,1,1,0,0,0
145,HLA_146,2,0,0,0,0
146,HLA_147,2,0,0,0,0
147,HLA_148,0,1,1,0,0
148,HLA_149,0,2,0,0,0
149,HLA_150,1,1,0,0,0
150,HLA_151,1,0,0,1,0
151,HLA_152,0,2,0,0,0
152,HLA_153,0,0,0,2,0
153,HLA_154,2,0,0,0,0
154,HLA_155,2,0,0,0,0
155,HLA_156,1,0,1,0,0
156,HLA_157,2,0,0,0,0
157,HLA_158,1,1,0,0,0
158,HLA_159,1,1,0,0,0
159,HLA_160,1,1,0,0,0
160,HLA_161,0,1,0,1,0
161,HLA_162,1,1,0,0,0
162,HLA_163,1,1,0,0,0
163,HLA_164,1,0,0,1,0
164,HLA_165,0,1,0,1,0
165,HLA_166,2,0,0,0,0
166,HLA_167,2,0,0,0,0
167,HLA_168,2,0,0,0,0
168,HLA_169,1,0,1,0,0
169,HLA_170,2,0,0,0,0
170,HLA_171,1,0,1,0,0
171,HLA_172,0,1,1,0,0
172,HLA_173,1,1,0,0,0
173,HLA_174,1,0,1,0,0
174,HLA_175,2,0,0,0,0
175,HLA_176,0,2,0,0,0
176,HLA_177,0,0,1,1,0
177,HLA_178,0,1,0,1,0
178,HLA_179,1,0,1,0,0
179,HLA_180,2,0,0,0,0
180,HLA_181,2,0,0,0,0
181,HLA_182,1,1,0,0,0
182,HLA_183,1,0,1,0,0
183,HLA_184,1,1,0,0,0
184,HLA_185,2,0,0,0,0
185,HLA_186,2,0,0,0,0
186,HLA_187,1,1,0,0,0
187,HLA_188,1,1,0,0,0
188,HLA_189,1,1,0,0,0
189,HLA_190,2,0,0,0,0
190,HLA_191,2,0,0,0,0
191,HLA_192,2,0,0,0,0
192,HLA_193,2,0,0,0,0
193,HLA_194,2,0,0,0,0
194,HLA_195,0,1,1,0,0
195,HLA_196,1,0,0,1,0
196,HLA_197,1,1,0,0,0
197,HLA_198,2,0,0,0,0
198,HLA_199,1,1,0,0,0
199,HLA_200,2,0,0,0,0
200,HLA_201,0,2,0,0,0
201,HLA_202,1,1,0,0,0
202,HLA_203,1,0,1,0,0
203,HLA_204,1,0,0,1,0
204,HLA_205,2,0,0,0,0
205,HLA_206,2,0,0,0,0
206,HLA_207,1,0,1,0,0
207,HLA_208,1,0,1,0,0
208,HLA_209,2,0,0,0,0
209,HLA_210,1,0,0,1,0
210,HLA_211,2,0,0,0,0
211,HLA_212,1,0,1,0,0
212,HLA_213,2,0,0,0,0
213,HLA_214,2,0,0,0,0
214,HLA_215,1,1,0,0,0
215,HLA_216,2,0,0,0,0
216,HLA_217,2,0,0,0,0
217,HLA_218,2,0,0,0,0
218,HLA_219,1,0,0,1,0
219,HLA_220,0,2,0,0,0
220,HLA_221,2,0,0,0,0
221,HLA_222,1,1,0,0,0
222,HLA_223,1,0,1,0,0
223,HLA_224,2,0,0,0,0
224,HLA_225,0,2,0,0,0
225,HLA_226,2,0,0,0,0
226,HLA_227,2,0,0,0,0
227,HLA_228,1,1,0,0,0
228,HLA_229,1,0,1,0,0
229,HLA_230,0,1,0,0,1
230,HLA_231,2,0,0,0,0
231,HLA_232,2,0,0,0,0
232,HLA_233,0,0,2,0,0
233,HLA_234,1,1,0,0,0
234,HLA_235,2,0,0,0,0
235,HLA_236,1,1,0,0,0
236,HLA_237,0,1,1,0,0
237,HLA_238,1,0,1,0,0
238,HLA_239,2,0,0,0,0
239,HLA_240,1,1,0,0,0
240,HLA_241,0,1,0,1,0
241,HLA_242,1,1,0,0,0
242,HLA_243,1,1,0,0,0
243,HLA_244,0,1,1,0,0
244,HLA_245,1,0,0,1,0
245,HLA_246,2,0,0,0,0
246,HLA_247,1,1,0,0,0
247,HLA_248,1,1,0,0,0
248,HLA_249,1,1,0,0,0
249,HLA_250,1,1,0,0,0
250,HLA_251,2,0,0,0,0
251,HLA_252,1,0,1,0,0
252,HLA_253,2,0,0,0,0
253,HLA_254,1,1,0,0,0
254,HLA_255,1,1,0,0,0
255,HLA_256,0,2,0,0,0
256,HLA_257,1,1,0,0,0
257,HLA_258,2,0,0,0,0
258,HLA_259,2,0,0,0,0
259,HLA_260,1,1,0,0,0
260,HLA_261,2,0,0,0,0
261,HLA_262,1,1,0,0,0
262,HLA_263,1,1,0,0,0
263,HLA_264,1,1,0,0,0
264,HLA_265,1,1,0,0,0
265,HLA_266,2,0,0,0,0
266,HLA_267,2,0,0,0,0
267,HLA_268,2,0,0,0,0
268,HLA_269,1,1,0,0,0
269,HLA_270,1,1,0,0,0
270,HLA_271,0,2,0,0,0
271,HLA_272,1,1,0,0,0
272,HLA_273,2,0,0,0,0
273,HLA_274,1,1,0,0,0
274,HLA_275,0,0,1,1,0
275,HLA_276,2,0,0,0,0
276,HLA_277,2,0,0,0,0
277,HLA_278,1,1,0,0,0
278,HLA_279,0,0,2,0,0
279,HLA_280,1,1,0,0,0
280,HLA_281,1,0,0,1,0
281,HLA_282,0,2,0,0,0
282,HLA_283,1,1,0,0,0
283,HLA_284,1,0,1,0,0
284,HLA_285,1,0,1,0,0
285,HLA_286,1,1,0,0,0
286,HLA_287,1,1,0,0,0
287,HLA_288,1,0,1,0,0
288,HLA_289,2,0,0,0,0
289,HLA_290,1,0,1,0,0
290,HLA_291,2,0,0,0,0
291,HLA_292,0,2,0,0,0
292,HLA_293,0,1,0,1,0
293,HLA_294,1,0,0,1,0
294,HLA_295,2,0,0,0,0
295,HLA_296,1,1,0,0,0
296,HLA_297,2,0,0,0,0
297,HLA_298,1,0,0,1,0
298,HLA_299,2,0,0,0,0
299,HLA_300,2,0,0,0,0
300,HLA_301,1,1,0,0,0
301,HLA_302,1,1,0,0,0
302,HLA_303,2,0,0,0,0
303,HLA_304,2,0,0,0,0
304,HLA_305,1,1,0,0,0
305,HLA_306,1,0,0,1,0
306,HLA_307,1,0,1,0,0
307,HLA_308,2,0,0,0,0
308,HLA_309,2,0,0,0,0
