,IID,01:03,02:02,02:01,01:04i2,02:06
63,HLA_64,2,0,0,0,0
64,HLA_65,2,0,0,0,0
65,HLA_66,2,0,0,0,0
66,HLA_67,2,0,0,0,0
67,HLA_68,2,0,0,0,0
68,HLA_69,0,2,0,0,0
69,HLA_70,2,0,0,0,0
70,HLA_71,0,2,0,0,0
71,HLA_72,1,0,1,0,0
72,HLA_73,2,0,0,0,0
73,HLA_74,1,0,1,0,0
74,HLA_75,2,0,0,0,0
75,HLA_76,1,1,0,0,0
76,HLA_77,2,0,0,0,0
77,HLA_78,2,0,0,0,0
78,HLA_79,2,0,0,0,0
79,HLA_80,2,0,0,0,0
80,HLA_81,2,0,0,0,0
81,HLA_82,2,0,0,0,0
82,HLA_83,2,0,0,0,0
83,HLA_84,2,0,0,0,0
84,HLA_85,2,0,0,0,0
85,HLA_86,0,2,0,0,0
86,HLA_87,1,1,0,0,0
87,HLA_88,2,0,0,0,0
88,HLA_89,2,0,0,0,0
89,HLA_90,2,0,0,0,0
90,HLA_91,0,2,0,0,0
91,HLA_92,1,0,1,0,0
92,HLA_93,1,0,1,0,0
93,HLA_94,2,0,0,0,0
94,HLA_95,1,0,1,0,0
95,HLA_96,1,1,0,0,0
96,HLA_97,1,0,1,0,0
97,HLA_98,2,0,0,0,0
98,HLA_99,1,0,0,1,0
99,HLA_100,2,0,0,0,0
100,HLA_101,2,0,0,0,0
101,HLA_102,0,0,2,0,0
102,HLA_103,2,0,0,0,0
103,HLA_104,2,0,0,0,0
104,HLA_105,2,0,0,0,0
105,HLA_106,2,0,0,0,0
106,HLA_107,2,0,0,0,0
107,HLA_108,2,0,0,0,0
108,HLA_109,2,0,0,0,0
109,HLA_110,2,0,0,0,0
110,HLA_111,0,2,0,0,0
111,HLA_112,2,0,0,0,0
112,HLA_113,1,0,1,0,0
113,HLA_114,2,0,0,0,0
114,HLA_115,2,0,0,0,0
115,HLA_116,0,2,0,0,0
116,HLA_117,2,0,0,0,0
117,HLA_118,2,0,0,0,0
118,HLA_119,2,0,0,0,0
119,HLA_120,2,0,0,0,0
120,HLA_121,2,0,0,0,0
121,HLA_122,2,0,0,0,0
122,HLA_123,0,2,0,0,0
123,HLA_124,0,2,0,0,0
124,HLA_125,1,0,1,0,0
125,HLA_126,2,0,0,0,0
126,HLA_127,2,0,0,0,0
127,HLA_128,1,0,1,0,0
128,HLA_129,0,2,0,0,0
129,HLA_130,2,0,0,0,0
130,HLA_131,1,0,1,0,0
131,HLA_132,1,0,1,0,0
132,HLA_133,1,0,1,0,0
133,HLA_134,2,0,0,0,0
134,HLA_135,0,1,1,0,0
135,HLA_136,1,0,1,0,0
136,HLA_137,1,0,1,0,0
137,HLA_138,0,1,0,0,1
138,HLA_139,1,1,0,0,0
139,HLA_140,2,0,0,0,0
140,HLA_141,1,0,1,0,0
141,HLA_142,2,0,0,0,0
142,HLA_143,1,1,0,0,0
143,HLA_144,2,0,0,0,0
144,HLA_145,2,0,0,0,0
145,HLA_146,2,0,0,0,0
146,HLA_147,2,0,0,0,0
147,HLA_148,0,1,1,0,0
148,HLA_149,2,0,0,0,0
149,HLA_150,1,1,0,0,0
150,HLA_151,1,0,1,0,0
151,HLA_152,1,0,1,0,0
152,HLA_153,1,1,0,0,0
153,HLA_154,2,0,0,0,0
154,HLA_155,0,2,0,0,0
155,HLA_156,2,0,0,0,0
156,HLA_157,1,0,1,0,0
157,HLA_158,2,0,0,0,0
158,HLA_159,2,0,0,0,0
159,HLA_160,1,0,0,0,1
160,HLA_161,2,0,0,0,0
161,HLA_162,2,0,0,0,0
162,HLA_163,2,0,0,0,0
163,HLA_164,1,0,1,0,0
164,HLA_165,0,1,1,0,0
165,HLA_166,0,1,1,0,0
166,HLA_167,2,0,0,0,0
167,HLA_168,1,0,1,0,0
168,HLA_169,2,0,0,0,0
169,HLA_170,0,1,1,0,0
170,HLA_171,2,0,0,0,0
171,HLA_172,1,0,1,0,0
172,HLA_173,2,0,0,0,0
173,HLA_174,2,0,0,0,0
174,HLA_175,2,0,0,0,0
175,HLA_176,2,0,0,0,0
176,HLA_177,1,0,1,0,0
177,HLA_178,1,0,1,0,0
178,HLA_179,2,0,0,0,0
179,HLA_180,2,0,0,0,0
180,HLA_181,2,0,0,0,0
181,HLA_182,1,1,0,0,0
182,HLA_183,1,0,1,0,0
183,HLA_184,1,0,1,0,0
184,HLA_185,1,0,1,0,0
185,HLA_186,2,0,0,0,0
186,HLA_187,2,0,0,0,0
187,HLA_188,2,0,0,0,0
188,HLA_189,2,0,0,0,0
189,HLA_190,1,1,0,0,0
190,HLA_191,2,0,0,0,0
191,HLA_192,1,0,1,0,0
192,HLA_193,0,2,0,0,0
193,HLA_194,2,0,0,0,0
194,HLA_195,2,0,0,0,0
195,HLA_196,2,0,0,0,0
