IID,A.1,A.2,A.prob,B.1,B.2,B.prob,C.1,C.2,C.prob,DPB1.1,DPB1.2,DPB1.prob,DQA1.1,DQA1.2,DQA1.prob,DQB1.1,DQB1.2,DQB1.prob,DRB1.1,DRB1.2,DRB1.prob,DPA1.1,DPA1.2,DPA1.prob,DRB3.1,DRB3.2,DRB3.prob,DRB4.1,DRB4.2,DRB4.prob,DRB5.1,DRB5.2,DRB5.prob,ArrayID
HLA_323,02:01,24:02,0.859233082630675,40:01,54:01,0.932093866504375,01:02,07:02,0.999316478078129,02:01,05:01,0.651413365025542,01:02,05:05,0.834163198391637,03:01,06:02,0.887036586340558,12:01,15:01,0.697204803521899,01:03,02:01,0.864904369387749,00:00,02:02,0.37522866417802,00:00,00:00,0.818770210506993,00:00,01:01,0.407889921758904,4
HLA_324,26:01,68:02,0.660190158987247,14:02,38:01,0.794590778337306,08:02,12:03,0.929710888187769,04:02,15:01,0.62975379021407,01:01,03:03,0.701639367654909,03:01,05:01,0.886436614916858,01:02,04:03,0.275821979100828,01:03,01:03,0.675566480990317,00:00,00:00,0.524584623004095,00:00,01:03,0.718880963638616,00:00,00:00,0.818025638691806,2
HLA_325,03:01,03:01,0.95312050277084,07:02,35:01,0.909392853087896,04:01,07:02,0.981893558572572,06:01e1,104:01e1,0.522484423817507,01:02,01:02,0.266470081831855,02:02,06:02,0.911330925376552,07:01,15:01,0.947068368778018,01:03,01:03,0.932657432093562,00:00,00:00,0.931430410442598,00:00,01:03,0.931033839574024,00:00,01:01,0.927349849373169,3
HLA_326,02:01,03:01,0.930507662803822,07:02,35:03,0.874681134901962,04:01,07:02,0.977794259087397,02:01,03:01,0.811698334177139,01:02,04:01,0.84305173328767,04:02,05:02,0.86543825652623,08:01,15:01,0.850074224722092,01:03,01:03,0.886842012244929,00:00,00:00,0.499250944502298,00:00,00:00,0.888547562286691,00:00,01:01,0.707721109204947,3
HLA_327,02:07,24:02,0.390053517707324,15:01,40:01,0.222616201266215,01:02,07:02,0.490623944522224,02:01,05:01,0.64530085453523,01:03,03:02,0.732807120703674,03:03,06:01,0.969363615337831,08:03,09:01,0.965927108845518,01:03,02:02,0.516570724511838,00:00,02:02,0.254295882069998,00:00,01:03,0.690499479155742,00:00,00:00,0.841689519261856,2
HLA_328,02:01,33:03,0.664168499666732,27:05,40:01,0.953350999368572,02:02,03:04,0.992747820570753,04:02,10:01,0.692204352531109,01:03,01:03,0.999717526598038,06:03,06:03,0.997224075484739,13:01,13:01,0.996659636102198,01:03,02:01,0.95646301369246,01:01,02:02,0.902335861718722,00:00,00:00,0.933939292514355,00:00,00:00,0.961191509479812,1
HLA_329,11:01,68:02,0.993780955164034,35:01,53:01,0.904295494182237,04:01,04:01,0.999531765398447,04:01,04:02,0.678994452896564,01:02,01:03,0.990821971629744,06:03,06:04,0.954536646931392,13:01,13:02,0.967347290533245,01:03,01:03,0.971519595024633,02:02,03:01,0.704752126137775,00:00,00:00,0.844736043572687,00:00,00:00,0.970429545400337,4
HLA_330,02:01,24:02,0.93750035784574,07:02,44:02,0.992585726808324,05:01,07:02,0.999999997377154,04:01,04:02,0.870794371180408,01:02,01:04,0.804395284217003,05:03,06:02,0.956928433360501,14:01,15:01,0.991196443174704,01:03,01:03,0.975874401505699,00:00,02:02,0.73627670007823,00:00,00:00,0.90347337080414,00:00,01:01,0.919445445162272,4
HLA_331,02:01,02:01,0.917561428981704,07:02,35:08,0.466938273705227,04:01,07:02,0.999999997546311,04:01,04:02,0.80793550601832,01:02,03:03,0.571736171784712,04:02,06:02,0.663721014430629,04:02,15:01,0.336498405749323,01:03,01:03,0.981595931438374,00:00,00:00,0.935043195094157,00:00,01:03,0.91760160869525,00:00,01:01,0.949122159423974,4
HLA_332,03:01,25:01,0.842049083460525,14:02,18:01,0.999572938483657,08:02,12:03,0.975419491788281,04:01,04:01,0.454298492375069,01:02,03:03,0.887586231816692,03:01,06:02,0.72128478948494,04:01,15:01,0.756693021149206,01:03,01:03,0.974926812308753,00:00,00:00,0.94613974186744,00:00,01:03,0.916205683286537,00:00,01:01,0.954540668666184,4
